text,label
"overall, the game felt clear and simple for daily use.",positive
the app was not useful AND kept crashing all day!,negative
"the service was weak, unstable, AND unreliable for daily use.",negative
"Overall, the tablet looked clear and simple from start to finish.",positive
"The app was slow, buggy, AND confusing for daily use!",negative
the game was not enjoyable AND turned annoying.,negative
"Overall, the laptop seemed messy and unclear for most tasks.",negative
"the app was limited, awkward, AND disappointing during the demo.",negative
"the tutorial looked slow, buggy, and confusing for new users!",negative
"The platform looked engaging, practical, and enjoyable for daily use.",positive
"the camera looked weak, unstable, and unreliable during the demo.",negative
"Overall, the website seemed boring and annoying during the demo.",negative
"the website looked weak, unstable, and unreliable for daily use.",negative
"The game seemed smooth, reliable, and friendly from start to finish.",positive
The game was not annoying AND turned enjoyable.,positive
"The service seemed fast, stable, and useful for new users!",positive
The course was not engaging AND looked boring.,negative
"The phone was weak, unstable, AND unreliable for new users.",negative
"overall, the lesson seemed boring and annoying from start to finish.",negative
"overall, the platform seemed pleasant and efficient during the demo.",positive
the platform was not messy and stayed stable.,positive
"overall, the app felt clear and simple from start to finish.",positive
"the phone seemed limited, awkward, and disappointing for daily use.",negative
"Overall, the platform was boring AND annoying for most tasks.",negative
"the service was smooth, reliable, AND friendly for daily use.",positive
the app was not confusing AND stayed useful all week!,positive
The website was not clear and remained confusing.,negative
"The game seemed weak, unstable, and unreliable from start to finish.",negative
"the tutorial looked limited, awkward, and disappointing for most tasks.",negative
"Overall, the laptop seemed pleasant and efficient for most tasks.",positive
the website was not slow and felt reliable in class.,positive
"overall, the camera seemed boring and annoying for new users.",negative
"overall, the tutorial was clear AND simple during the demo.",positive
the service was not disappointing and felt friendly.,positive
"Overall, the course felt boring and annoying for new users.",negative
"overall, the laptop was clear AND simple for daily use.",positive
"the website felt slow, buggy, and confusing for new users!",negative
"overall, the app felt boring and annoying from start to finish.",negative
"overall, the phone looked boring and annoying for most tasks.",negative
"Overall, the app looked messy and unclear for new users.",negative
"the tablet seemed slow, buggy, and confusing for daily use!",negative
the laptop was not frustrating and seemed very helpful.,positive
"Overall, the platform was clear AND simple for most tasks.",positive
"overall, the tablet felt messy and unclear for new users.",negative
"the app was engaging, practical, AND enjoyable during the demo.",positive
the tablet was not buggy and worked reliably!,positive
"the lesson felt fast, stable, and useful for daily use!",positive
The phone was not weak and looked easy to use.,positive
"the app seemed smooth, reliable, and friendly for most tasks.",positive
